key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSOPN60NEMJIJI_00732_CFC_TO_INSTANCE_CONTENT","<hex:02281CFF17>ContentFinderCondition<hex:E8020403>"
1,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_000","<hex:022903EB0203>！感謝你願意協助我們調查。<hex:02100103>你報告中的那些過去的創造生物……<hex:02100103>呵呵呵……我已經等不及想要開始推測它們的生態了！"
2,"TEXT_CTSOPN60NEMJIJI_00732_Q1_000_000","要做什麼？"
3,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_003","確認調查情況"
4,"TEXT_CTSOPN60NEMJIJI_00732_A1_000_004","取消"
5,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_100","<hex:022903EB0203>，稍微耽誤你一點時間可以嗎？<hex:02100103>我想請你再詳細說說發生在過去世界的事。"
6,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_101","水晶中發出的警告，還有萬魔殿的結局……<hex:02100103>總有一天，克勞狄恩老師會向學會報告<hex:02100103>此次事件的始末和相關現象。"
7,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_102","為此，我希望能留下更加詳細的記錄。<hex:02100103>尤其是那些與你在邊境之獄所交戰的十分危險的對手！<hex:02100103>還請你務必具體講講！"
8,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_103","尼姆吉吉！<hex:02100103>你要的資料我都已經找齊了，<hex:02100103>不過，那些真的都是解開水晶之謎所必需的資料嗎？"
9,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_104","其中還有«水生生物的生態»和«各地的不死鳥傳說»等論文，<hex:02100103>都是和萬魔殿的創造生物有關的資料啊。"
10,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_105","創造生物不是都已經被打倒、重新封印起來了嗎？<hex:02100103>沒必要再進行深入調查了吧……"
11,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_106","沒有的事。<hex:02100103>從現代研究者的視角調查存在於遠古時期的創造生物，<hex:02100103>這可是有著重大意義的。"
12,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_107","當然……我個人也對此非常感興趣……"
13,"TEXT_CTSOPN60NEMJIJI_00732_RUISSENAUD_000_108","果然是出於你的個人興趣啊……<hex:02100103>不過與這回的事情也不是沒有關係，所以我連論文也替你拿來了，<hex:02100103>下次就拜託你自己收集了哦？"
14,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_110","好了，我們言歸正傳。<hex:02100103>就請你講講那些十分危險的對手吧！"
15,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_111","對了，變身後的埃里克特翁尼亞斯<hex:02100103>和化身為半神的獄卒長也拜託你一起講一下。<hex:02100103>這些都是很有趣……不，是令人興趣頗深的現象。"
16,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_112","嗯嗯，謝謝你願意給我講這些。<hex:02100103>雖然很遺憾無法親眼去看看他們，<hex:02100103>但你的講述已經足以讓我做出詳細記錄了。"
17,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_113","唔……<hex:02100103>乾脆給創造生物的生態加上簡單的推測，<hex:02100103>然後一起寫進記錄之中當作參考吧。"
18,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_114","你知道嗎，現代的水生生物中，<hex:02100103>有的物種成年後能長到幼體的數十倍之大！"
19,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_115","你遇到的魚尾海馬怪說不定也只是幼體，<hex:02100103>還遠遠沒有長大呢！"
20,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_116","哎呀，沒想到你會這麼吃驚……<hex:02100103>在尚未確定創造生物是否會成長之前，<hex:02100103>這個推測確實有些過於跳躍了。"
21,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_117","但是，想像力是無限的。<hex:02100103>在得到實證之前，一切皆有可能。<hex:02100103>啊啊，我的靈感正在源源不斷地湧現！"
22,"TEXT_CTSOPN60NEMJIJI_00732_Q1_100_100","要說什麼？"
23,"TEXT_CTSOPN60NEMJIJI_00732_A1_100_100","你要寫一份充滿妄想的記錄？"
24,"TEXT_CTSOPN60NEMJIJI_00732_A2_100_100","聽起來很有趣！"
25,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_120","嘿嘿嘿，推測的內容我會標註上「待檢驗」的！<hex:02100103>來吧，<hex:022903EB0203>，和我一起展開想像的翅膀！"
26,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_400","根據克勞狄恩老師的要求，我們在向各機關報告時，<hex:02100103>只報告了最低限度的內容。"
27,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_401","畢竟還不知道萬魔殿發生的事件會對現代造成什麼影響，<hex:02100103>所以也不方便做詳細報告。"
28,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_402","我們和萬魔殿之間唯一的聯繫就是那個封印著記憶的水晶了……<hex:02100103>但是很可惜，你從中感知到的思念自那之後就再也沒出現過了。"
29,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_403","雖然已經收集了靈魂水晶等封印著記憶的結晶進行比較，<hex:02100103>但目前還沒有得到任何成果……"
30,"TEXT_CTSOPN60NEMJIJI_00732_NEMJIJI_000_404","要是我們也能和你一樣聽到裡面的聲音的話，<hex:02100103>肯定會更有利於調查吧……<hex:02100103>克勞狄恩老師也為此感到非常遺憾。"
